Feature,Importance
FBI Code,0.24950865539650127
Description,0.11771868973871921
Primary Type,0.09692957493323276
Location Description,0.042522047516443964
date,0.033479376127157894
Longitude,0.030411053247830545
Latitude,0.030272952092910487
bus,0.02635902226871233
rail_boardings,0.026023306328079584
total_rides,0.025665830929921207
hour,0.02494722813149635
AWND,0.024309701224196758
Beat,0.02314021312031439
temp_avg,0.022426363555933086
TMAX,0.02165192031270989
day,0.021629186879096925
TMIN,0.021546857421854936
year,0.018638455420361785
per_capita_income,0.018343599236437566
no_highschool_pct,0.0169480808072853
unemployment_rate,0.01675027807969377
community_area,0.014350738331401222
month,0.014168394080352717
Domestic,0.012043553709241954
PRCP,0.011404744251304836
day_of_week,0.01088749994733303
District,0.01035276357758168
temp_category,0.003732335003320076
is_rain,0.0033291897040086957
day_type,0.0030412672018103925
SNOW,0.0029510019599038122
is_weekend,0.0017782788794394118
high_wind,0.0015370264030945273
is_snow,0.0012008141823177318
